38,20.876,4.3117
42.7,22.902,3.9513
51.2,24.296,4.9374
52.1,25.268,4.4744
47.4,26.451,5.6736
49.7,27.484,4.7102
54.9,29.379,5.2645
71.2,31.085,5.0744
53.3,32.016,5.8725
61.2,32.896,5.0033
66.2,34.756,5.7606
56.3,35.629,5.2165
62.3,35.859,5.2929
64.7,37.389,5.3794
61.2,38.496,5.3748
67.3,39.416,5.1495
76.3,40.981,5.0212
72.5,42.275,5.0033
71,43.923,5.1687
73.8,44.357,4.7097
47.1,22.984,5.6905
47.9,23.724,4.4018
44.8,26.182,4.5997
53.3,27.485,5.1635
55.5,28.488,4.9745
61,30.637,5.5327
62.8,32.098,5.8824
60,34.049,5.851
69,36.341,5.5938
64,36.85,5.6297
69,38.336,6.0054
71.9,40.906,6.4369
70.3,42.958,6.242
68,44.084,6.1637
70.1,45.932,5.8141
71.7,48.287,6.4937
79.4,50.782,6.2375
76.4,52.284,6.3491
75.7,53.441,6.0964
79.8,54.853,5.7499
53.5,23.286,4.5974
45.8,25.361,4.8057
56.5,26.495,4.8508
53.9,28.162,5.4266
61.8,30.016,5.2383
59.3,31.839,5.3598
60.8,34.118,5.8255
62.1,35.388,5.8752
61.6,37.318,6.1624
66.5,39.519,5.7349
66.5,42.043,6.397
73.5,44.356,6.5626
71.2,46.338,6.0998
75.5,48.46,6.5264
79.2,50.154,6.5009
77.4,52.578,6.2693
79.6,55.351,6.0334
81.1,56.912,6.1709
78.4,58.692,5.2476
85.8,61.086,5.2878
43.3,23.434,4.5217
47.3,25.441,4.8636
55.4,27.077,4.7555
54,28.811,5.1818
61.8,31.291,5.8236
63.2,33.574,5.716
58.4,35.281,5.605
65.6,37.21,6.4841
69.9,39.719,6.0241
65.5,42.15,6.1815
67.9,43.763,6.4136
67.2,46.042,6.2601
74.5,48.534,6.6246
69.6,51.284,6.2088
72.7,53.395,5.9939
81.9,56.47,5.8214
78.5,58.643,5.9551
78.6,59.789,5.6795
87.4,62.369,5.4202
86.6,64.216,5.3227
52.9,24.166,4.798
48.3,25.432,4.6402
58.1,27.639,5.4627
59.7,29.467,5.6156
59.5,31.341,5.4511
61.9,33.838,5.6575
61.6,36.402,5.5656
63.2,38.085,5.5625
66.3,41.263,6.193
66.5,43.368,6.6959
68.8,45.836,5.9635
66.6,48.141,6.567
72.6,51.022,6.2602
72.7,53.119,6.2854
75,56.454,6.2536
71,58.206,6.0076
79.4,60.41,5.9536
80.4,63.064,5.4448
84.3,65.304,5.3271
90.5,66.886,4.6965
43.2,24.52,4.5135
45.1,25.784,4.6378
52.9,27.372,5.2389
57.1,30.023,5.1657
62.9,32.38,5.182
62.5,34.646,4.8724
63.6,37.462,5.628
64.4,39.502,5.8189
64.2,41.413,5.9438
65.1,43.928,6.1421
66.3,46.951,6.2219
69.9,49.996,6.1124
70.3,52.316,6.1466
72,54.862,6.2109
70.5,57.104,5.6455
80.5,60.691,5.8338
